190113;The Opal Pin;Rufus H Gillmore;Nov;2019;http://gutenberg.net.au/ebooks19/1901131h.html
190112;Trail Smoke;Ernest Haycox;Nov;2019;http://gutenberg.net.au/ebooks19/1901121h.html
190111;The Red Ledger;Frank L Packard;Nov;2019;http://gutenberg.net.au/ebooks19/1901111h.html
190110;Never Again;Frank L Packard;Nov;2019;http://gutenberg.net.au/ebooks19/1901101h.html
190109;Corporal Bob;Frank L Packard;Nov;2019;http://gutenberg.net.au/ebooks19/1901091h.html
190108;Coogan's Last Run;Frank L Packard;Nov;2019;http://gutenberg.net.au/ebooks19/1901081h.html
190107;The Whispering Lane;Fergus Hume;Nov;2019;http://gutenberg.net.au/ebooks19/1901071h.html
190106;Leathermouth;Carlton Dawe;Oct;2019;http://gutenberg.net.au/ebooks19/1901061h.html
190105;More Lives than One;Carolyn Wells;Oct;2019;http://gutenberg.net.au/ebooks19/1901051h.html
190104;Chaffee of Roaring Horse;Ernest Haycox;Oct;2019;http://gutenberg.net.au/ebooks19/1901041h.html
190103;A Voyage to New South Wales;William Bradley;Oct;2019;http://gutenberg.net.au/ebooks19/1901031h.html
190102;The Vanity Case;Carolyn Wells;Sep;2019;http://gutenberg.net.au/ebooks19/1901021h.html
190101;The Feudists;Ernest Haycox;Sep;2019;http://gutenberg.net.au/ebooks19/1901011h.html
190100;The Soul of Countess Adrian;Rosa Praed;Sep;2019;http://gutenberg.net.au/ebooks19/1901001h.html
190099;The Knot Garden;Marjorie Bowen;Sep;2019;http://gutenberg.net.au/ebooks19/1900991h.html
190097;Child of Chequer'd Fortune;Marjorie Bowen;Sep;2019;http://gutenberg.net.au/ebooks19/1900971h.html
190095;The Wedding Chest Mystery;A. Fielding;Aug;2019;http://gutenberg.net.au/ebooks19/1900951h.html
190094;The Charteris Mystery;A. Fielding;Aug;2019;http://gutenberg.net.au/ebooks19/1900941h.html
190093;A Rider of the High Mesa;Ernest Haycox;Aug;2019;http://gutenberg.net.au/ebooks19/1900931h.html
190092;Collected Short Stories;Carolyn Wells;Aug;2019;http://gutenberg.net.au/ebooks19/1900921h.html
190091;The Skeleton at the Feast;Carolyn Wells;Aug;2019;http://gutenberg.net.au/ebooks19/1900911h.html
190090;The Doorstep Murders;Carolyn Wells;Aug;2019;http://gutenberg.net.au/ebooks19/1900901h.html
190089;The White Witch;Jack McLaren;Aug;2019;http://gutenberg.net.au/ebooks19/1900891h.html
190088;The Tapestry Room Murder;Carolyn Wells;Aug;2019;http://gutenberg.net.au/ebooks19/1900881h.html
190087;Who Killed Caldwell;Carolyn Wells;Aug;2019;http://gutenberg.net.au/ebooks19/1900871h.html
190086;Christianity and Morals;Edward Westermarck;Aug;2019;http://gutenberg.net.au/ebooks19/1900861h.html
190085;Crime Tears On;Carolyn Wells;Aug;2019;http://gutenberg.net.au/ebooks19/1900851h.html
190084;Murder Will In;Carolyn Wells;Aug;2019;http://gutenberg.net.au/ebooks19/1900841h.html
190083;The Crime in the Crypt;Carolyn Wells;Aug;2019;http://gutenberg.net.au/ebooks19/1900831h.html
190082;The Bronze Hand;Carolyn Wells;Aug;2019;http://gutenberg.net.au/ebooks19/1900821h.html
190081;Good Marriage and Other Stories;Ernest Haycox;Aug;2019;http://gutenberg.net.au/ebooks19/1900811h.html
190080;The Daughter of the House;Carolyn Wells;Aug;2019;http://gutenberg.net.au/ebooks19/1900801h.html
190079;Action by Night;Ernest Haycox;Aug;2019;http://gutenberg.net.au/ebooks19/1900791h.html
190078;The Broken O;Carolyn Wells;Jul;2019;http://gutenberg.net.au/ebooks19/1900781h.html
190077;The Silver Desert;Ernest Haycox;Jul;2019;http://gutenberg.net.au/ebooks19/1900771h.html
190076;The Omnibus Fleming Stone;Carolyn Wells;Jul;2019;http://gutenberg.net.au/ebooks19/1900761h.html
190075;Murder in the Bookshop;Carolyn Wells;Jul;2019;http://gutenberg.net.au/ebooks19/1900751h.html
190073;Sleeping Dogs;Carolyn Wells;Jul;2019;http://gutenberg.net.au/ebooks19/1900731h.html
190072;Canyon Passage;Ernest Haycox;Jul;2019;http://gutenberg.net.au/ebooks19/1900721h.html
190071;A Point of Testimony;Carolyn Wells;Jul;2019;http://gutenberg.net.au/ebooks19/1900711h.html
190070;The Tall House Mystery;A. Fielding;Jul;2019;http://gutenberg.net.au/ebooks19/1900701h.html
190069;The Furthest Fury;Carolyn Wells;Jul;2019;http://gutenberg.net.au/ebooks19/1900691h.html
190068;The Beautiful Derelict;Carolyn Wells;Jul;2019;http://gutenberg.net.au/ebooks19/1900681h.html
190066;Wheels Within Wheels;Carolyn Wells;Jul;2019;http://gutenberg.net.au/ebooks19/1900661h.html
190065;Scarecrow;A. Fielding;Jul;2019;http://gutenberg.net.au/ebooks19/1900651h.html
190063;The Affair at Flower Acres;Carolyn Wells;Jun;2019;http://gutenberg.net.au/ebooks19/1900631h.html
190062;Bugles in the Afternoon;Ernest Haycox;Jun;2019;http://gutenberg.net.au/ebooks19/1900621h.html
190060;The Border Trumpet;Ernest Haycox;Jun;2019;http://gutenberg.net.au/ebooks19/1900601h.html
190059;Rethinking Athenian Democracy;Stuart E Dawson;Jun;2019;http://gutenberg.net.au/ebooks19/1900591p.pdf
190057;Mystery at the Rectory;A. Fielding;Jun;2019;http://gutenberg.net.au/ebooks19/1900571h.html
190056;Big Brother and Other Stories;Rex Beach;Jun;2019;http://gutenberg.net.au/ebooks19/1900561h.html
190054;Long Storm;Ernest Haycox;May;2019;http://gutenberg.net.au/ebooks19/1900541h.html
190053;The Winds of Chance;Rex Beach;May;2019;http://gutenberg.net.au/ebooks19/1900531h.html
190052;Rainbow's End;Rex Beach;May;2019;http://gutenberg.net.au/ebooks19/1900521h.html
190051;The Auction Block;Rex Beach;May;2019;http://gutenberg.net.au/ebooks19/1900511h.html
190050;The Craig Poisoning Mystery;A. Fielding;May;2019;http://gutenberg.net.au/ebooks19/1900501h.html
190049;Starlight Rider;Ernest Haycox;Apr;2019;http://gutenberg.net.au/ebooks19/1900491h.html
190048;The Clifford Affair;A. Fielding;Apr;2019;http://gutenberg.net.au/ebooks19/1900481h.html
